yearid,fipscode,raceid,ageid,genderid,educationid,indicatorid,miscid,datasourceid,estimateid,SuppressID,datasetid,GeoLevel,Estimate,SeEstimate,LowerLimit,UpperLimit
1982,-1,0,99,0,2,1,0,30,101,0,40,National,1526,159,1212,1840
1982,-1,0,99,0,3,1,0,30,61,0,40,National,2,0.3,1.5,2.6
1982,-1,0,99,0,3,1,0,30,101,0,40,National,1093,149,798,1388
1982,-1,0,99,1,0,1,0,3,61,0,3,National,2.2,0.2,1.8,2.6
1982,-1,0,99,1,0,1,0,3,101,0,3,National,2409,215,1983,2834
1982,-1,0,99,1,0,1,0,30,61,0,40,National,3,0.3,2.6,3.6
1982,-1,0,99,1,0,1,0,30,101,0,40,National,2342,207,1933,2751
1982,-1,0,99,2,0,1,0,3,61,0,3,National,2.8,0.2,2.5,3.2
1982,-1,0,99,2,0,1,0,3,101,0,3,National,3320,224,2878,3762
1982,-1,0,99,2,0,1,0,30,61,0,40,National,3.8,0.3,3.3,4.3
1982,-1,0,99,2,0,1,0,30,101,0,40,National,3299,223,2858,3739
1982,-1,0,100,0,0,1,0,3,61,0,3,National,2.8,0.1,2.5,3.1
1982,-1,0,100,0,0,1,0,30,61,0,40,National,3.7,0.2,3.3,4.1
1982,-1,0,100,0,1,1,0,30,61,0,40,National,5.1,0.4,4.4,5.9
1982,-1,0,100,0,2,1,0,30,61,0,40,National,2.9,0.3,2.4,3.6
1982,-1,0,100,0,3,1,0,30,61,0,40,National,2.7,0.4,2,3.5
1982,-1,0,100,1,0,1,0,3,61,0,3,National,2.6,0.2,2.2,3.1
1982,-1,0,100,1,0,1,0,30,61,0,40,National,3.4,0.3,2.9,4.1
1982,-1,0,100,2,0,1,0,3,61,0,3,National,2.9,0.2,2.6,3.3
1982,-1,0,100,2,0,1,0,30,61,0,40,National,3.9,0.3,3.4,4.4
1982,-1,1,99,0,0,1,0,3,61,0,3,National,2.4,0.1,2.1,2.7
1982,-1,1,99,0,0,1,0,3,101,0,3,National,4625,290,4052,5199
1982,-1,1,99,0,0,1,0,30,61,0,40,National,3.2,0.2,2.8,3.6
1982,-1,1,99,0,0,1,0,30,101,0,40,National,4537,280,3984,5090
1982,-1,1,100,0,0,1,0,3,61,0,3,National,2.5,0.2,2.2,2.9
1982,-1,1,100,0,0,1,0,30,61,0,40,National,3.3,0.2,3,3.8
1982,-1,2,99,0,0,1,0,3,61,0,3,National,3.6,0.4,2.8,4.6
1982,-1,2,99,0,0,1,0,3,101,0,3,National,971,138,699,1243
1982,-1,2,99,0,0,1,0,30,61,0,40,National,5.6,0.7,4.3,7.1
1982,-1,2,99,0,0,1,0,30,101,0,40,National,971,138,699,1243
1982,-1,2,100,0,0,1,0,3,61,0,3,National,5,0.7,3.8,6.5
1982,-1,2,100,0,0,1,0,30,61,0,40,National,6.8,0.9,5.2,8.8
1982,-1,3,99,0,0,1,0,3,61,0,3,National,.,.,.,.
1982,-1,3,99,0,0,1,0,3,101,0,3,National,.,.,.,.
1982,-1,3,99,0,0,1,0,30,61,0,40,National,.,.,.,.
1982,-1,3,99,0,0,1,0,30,101,0,40,National,.,.,.,.
1982,-1,3,100,0,0,1,0,3,61,0,3,National,.,.,.,.
1982,-1,3,100,0,0,1,0,30,61,0,40,National,.,.,.,.
1982,-1,7,99,0,0,1,0,3,61,0,3,National,.,.,.,.
1982,-1,7,99,0,0,1,0,3,101,0,3,National,.,.,.,.
1982,-1,7,99,0,0,1,0,30,61,0,40,National,.,.,.,.
1982,-1,7,99,0,0,1,0,30,101,0,40,National,.,.,.,.
1982,-1,7,100,0,0,1,0,3,61,0,3,National,.,.,.,.
1982,-1,7,100,0,0,1,0,30,61,0,40,National,.,.,.,.
1983,-1,0,5,0,0,1,0,30,61,0,40,National,0.9,0.1,0.7,1.2
1983,-1,0,5,0,0,1,0,30,101,0,40,National,870,118,637,1104
1983,-1,0,6,0,0,1,0,3,61,0,3,National,5.8,0.4,5,6.7
1983,-1,0,6,0,0,1,0,3,101,0,3,National,2571,196,2185,2958
1983,-1,0,6,0,0,1,0,30,61,0,40,National,5.8,0.4,5,6.7
1983,-1,0,6,0,0,1,0,30,101,0,40,National,2571,196,2185,2958
